metaphor,FAMILIARITY_human,MEANINGFULNESS_human,BODY_RELATEDNESS_human
Quella fabbrica è un alveare,"4,5","5,461538462","3,153846154"
Quella luna è un palloncino,,"4,038461538","2,115384615"
Quella sigaretta è un proiettile,"2,230769231","3,576923077","2,923076923"
Quella stanza è una discarica,"4,653846154",6,"2,692307692"
Quel computer è una tartaruga,"3,769230769","5,230769231","1,807692308"
Quel libro è una lanterna,"1,846153846","3,423076923","1,730769231"
Quell'automobile è un missile,"5,807692308","6,346153846","3,115384615"
Quel cavo è un gomitolo,"4,538461538",5,"1,961538462"
Quel cappello è un fungo,"3,730769231","4,846153846","2,615384615"
Quella grondaia è uno scolapasta,"3,423076923","5,153846154","1,653846154"
Quella casa è un gioiello,"5,807692308","6,346153846","2,884615385"
Quell'ospedale è un labirinto,"5,958333333","6,083333333","2,166666667"
Quel diario è una miniera,"4,083333333","5,041666667","1,666666667"
Quell'aiuola è un arcobaleno,"2,916666667",4,"1,916666667"
Quel sonaglio è una camomilla,,"2,916666667",2
Quella nuvola è una perla,,"3,416666667","1,708333333"
Quella firma è un geroglifico,,"6,208333333","2,916666667"
Quegli abiti sono petali,,"2,625","2,291666667"
Quel mare è uno smeraldo,,"5,333333333","2,375"
Quella piscina è un brodo,,"5,291666667","2,708333333"
Quel pannolino è una diga,"2,083333333","3,208333333","3,5"
Quell'aspirapolvere è un'astronave,"3,5","4,208333333","1,75"
Quel bar è un cimitero,"5,166666667","5,166666667","1,833333333"
